match_number,innings,team,over,ball,batter,bowler,fielder,position,short_description,pick,throw,catches,dropped_catches,stumpings,run_outs,missed_run_outs,direct_hits,runs_saved,venue,zone,clean_picks,good_throws
3rd T20I,2,India,5,5,Joe Root,Ashish Nehra,Amit Mishra,Short Fine Leg,"At Short Fine Leg: swooped in rapidly, firing back to the keeper.",1,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,0
3rd T20I,2,India,5,6,Joe Root,Ashish Nehra,Jasprit Bumrah,Mid-on,At Mid-on: neat collection and controlled release.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,6,1,Eoin Morgan,Jasprit Bumrah,Ashish Nehra,Fine Leg,At Fine Leg: gathered smoothly and whipped back to bowler.,1,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,0
3rd T20I,2,India,6,2,Eoin Morgan,Jasprit Bumrah,MS Dhoni (WK),Wicketkeeper,At Wicketkeeper: clean pick on the run and quick return throw.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,6,3,Eoin Morgan,Jasprit Bumrah,MS Dhoni (WK),Wicketkeeper,"At Wicketkeeper: swooped in rapidly, firing back to the keeper.",1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,6,4,Eoin Morgan,Jasprit Bumrah,Virat Kohli (C),Long-on / Extra Cover,Fielding save at Long-on / Extra Cover: sliding boundary stop keeping batter to one.,1,1,0,0,0,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,6,5,Eoin Morgan,Jasprit Bumrah,Hardik Pandya,Deep Mid-wicket,Fielding save at Deep Mid-wicket: quick boundary sweep saving vital runs.,1,1,0,0,0,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,6,6,Eoin Morgan,Jasprit Bumrah,Suresh Raina,Point,At Point: clean pick on the run and quick return throw.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,7,1,Eoin Morgan,Yuzvendra Chahal,KL Rahul,Cover,"At Cover: swooped in rapidly, firing back to the keeper.",1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,7,2,Eoin Morgan,Yuzvendra Chahal,Yuvraj Singh,Mid-wicket,At Mid-wicket: neat collection and controlled release.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,7,3,Eoin Morgan,Yuzvendra Chahal,Rishabh Pant,Mid-off,At Mid-off: gathered smoothly and whipped back to bowler.,1,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,0
3rd T20I,2,India,7,4,Eoin Morgan,Yuzvendra Chahal,MS Dhoni (WK),Wicketkeeper,Sensational sub-second stumping! Dhoni collects Chahal's leg-break cleanly and whips off bails before Billings can recover.,1,1,0,0,1,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,7,5,Eoin Morgan,Yuzvendra Chahal,MS Dhoni (WK),Wicketkeeper,"At Wicketkeeper: swooped in rapidly, firing back to the keeper.",1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,7,6,Eoin Morgan,Yuzvendra Chahal,MS Dhoni (WK),Wicketkeeper,At Wicketkeeper: neat collection and controlled release.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,8,1,Ben Stokes,Hardik Pandya,Virat Kohli (C),Long-on / Extra Cover,At Long-on / Extra Cover: gathered smoothly and whipped back to bowler.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,8,2,Ben Stokes,Hardik Pandya,Virat Kohli (C),Long-on / Extra Cover,At Long-on / Extra Cover: clean pick on the run and quick return throw.,0,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,1
3rd T20I,2,India,8,3,Ben Stokes,Hardik Pandya,Hardik Pandya,Deep Mid-wicket,"At Deep Mid-wicket: swooped in rapidly, firing back to the keeper.",1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,8,4,Ben Stokes,Hardik Pandya,Hardik Pandya,Deep Mid-wicket,At Deep Mid-wicket: neat collection and controlled release.,1,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,0
3rd T20I,2,India,8,5,Ben Stokes,Hardik Pandya,Suresh Raina,Point,At Point: gathered smoothly and whipped back to bowler.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,8,6,Ben Stokes,Hardik Pandya,KL Rahul,Cover,At Cover: clean pick on the run and quick return throw.,1,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,0
3rd T20I,2,India,9,1,Ben Stokes,Amit Mishra,Yuvraj Singh,Mid-wicket,"At Mid-wicket: swooped in rapidly, firing back to the keeper.",0,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,1
3rd T20I,2,India,9,2,Ben Stokes,Amit Mishra,Suresh Raina,Point,At Point: neat collection and controlled release.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,9,3,Ben Stokes,Amit Mishra,Amit Mishra,Short Fine Leg,At Short Fine Leg: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,9,4,Ben Stokes,Amit Mishra,Jasprit Bumrah,Mid-on,At Mid-on: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,9,5,Ben Stokes,Amit Mishra,Ashish Nehra,Fine Leg,At Fine Leg: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,9,6,Ben Stokes,Amit Mishra,Yuzvendra Chahal,Deep Cover,At Deep Cover: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,10,1,Jos Buttler,Ashish Nehra,MS Dhoni (WK),Wicketkeeper,At Wicketkeeper: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,0,0
3rd T20I,2,India,10,2,Jos Buttler,Ashish Nehra,Virat Kohli (C),Long-on / Extra Cover,At Long-on / Extra Cover: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,10,3,Jos Buttler,Ashish Nehra,Hardik Pandya,Deep Mid-wicket,At Deep Mid-wicket: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,10,4,Jos Buttler,Ashish Nehra,Suresh Raina,Point,At Point: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,10,5,Jos Buttler,Ashish Nehra,KL Rahul,Cover,At Cover: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,10,6,Jos Buttler,Ashish Nehra,Yuvraj Singh,Mid-wicket,At Mid-wicket: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,11,1,Jos Buttler,Jasprit Bumrah,Rishabh Pant,Mid-off,At Mid-off: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,11,2,Jos Buttler,Jasprit Bumrah,Amit Mishra,Short Fine Leg,At Short Fine Leg: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,11,3,Jos Buttler,Jasprit Bumrah,Jasprit Bumrah,Mid-on,At Mid-on: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,11,4,Jos Buttler,Jasprit Bumrah,Ashish Nehra,Fine Leg,At Fine Leg: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,11,5,Jos Buttler,Jasprit Bumrah,Yuzvendra Chahal,Deep Cover,At Deep Cover: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,11,6,Jos Buttler,Jasprit Bumrah,MS Dhoni (WK),Wicketkeeper,At Wicketkeeper: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,0,0
3rd T20I,2,India,12,1,Moeen Ali,Yuzvendra Chahal,Virat Kohli (C),Long-on / Extra Cover,At Long-on / Extra Cover: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,12,2,Moeen Ali,Yuzvendra Chahal,Hardik Pandya,Deep Mid-wicket,At Deep Mid-wicket: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,12,3,Moeen Ali,Yuzvendra Chahal,Suresh Raina,Point,At Point: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,12,4,Moeen Ali,Yuzvendra Chahal,KL Rahul,Cover,At Cover: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,12,5,Moeen Ali,Yuzvendra Chahal,Yuvraj Singh,Mid-wicket,At Mid-wicket: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,12,6,Moeen Ali,Yuzvendra Chahal,Rishabh Pant,Mid-off,At Mid-off: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,13,1,Moeen Ali,Hardik Pandya,Amit Mishra,Short Fine Leg,At Short Fine Leg: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,13,2,Moeen Ali,Hardik Pandya,Jasprit Bumrah,Mid-on,At Mid-on: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,13,3,Moeen Ali,Hardik Pandya,Ashish Nehra,Fine Leg,At Fine Leg: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,13,4,Moeen Ali,Hardik Pandya,Yuzvendra Chahal,Deep Cover,At Deep Cover: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,13,5,Moeen Ali,Hardik Pandya,MS Dhoni (WK),Wicketkeeper,At Wicketkeeper: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,0,0
3rd T20I,2,India,13,6,Moeen Ali,Hardik Pandya,MS Dhoni (WK),Wicketkeeper,Masterclass behind the stumps! Low bounce gathered effortlessly off Mishra's wrong-un for a sharp stumping.,1,1,0,0,1,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,14,1,Chris Jordan,Amit Mishra,Hardik Pandya,Deep Mid-wicket,At Deep Mid-wicket: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,14,2,Chris Jordan,Amit Mishra,MS Dhoni (WK),Wicketkeeper,Rapid underarm flick! Dhoni gathers the wide throw in a single motion and dislodges bails for an unassisted run-out.,1,1,0,0,0,1,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,14,3,Chris Jordan,Amit Mishra,KL Rahul,Cover,At Cover: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,14,4,Chris Jordan,Amit Mishra,Yuvraj Singh,Mid-wicket,At Mid-wicket: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,14,5,Chris Jordan,Amit Mishra,Rishabh Pant,Mid-off,At Mid-off: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,14,6,Chris Jordan,Amit Mishra,Amit Mishra,Short Fine Leg,At Short Fine Leg: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,15,1,Chris Jordan,Ashish Nehra,Jasprit Bumrah,Mid-on,At Mid-on: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,15,2,Chris Jordan,Ashish Nehra,Ashish Nehra,Fine Leg,At Fine Leg: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,15,3,Chris Jordan,Ashish Nehra,Yuzvendra Chahal,Deep Cover,At Deep Cover: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,15,4,Chris Jordan,Ashish Nehra,MS Dhoni (WK),Wicketkeeper,At Wicketkeeper: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,0,0
3rd T20I,2,India,15,5,Chris Jordan,Ashish Nehra,Virat Kohli (C),Long-on / Extra Cover,At Long-on / Extra Cover: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,15,6,Chris Jordan,Ashish Nehra,Hardik Pandya,Deep Mid-wicket,At Deep Mid-wicket: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,16,1,Liam Plunkett,Jasprit Bumrah,Virat Kohli (C),Long-on / Extra Cover,Captain's catch! High skyer judged flawlessly right inside the Long-on boundary rope under heavy lights.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,16,2,Liam Plunkett,Jasprit Bumrah,KL Rahul,Cover,At Cover: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,16,3,Liam Plunkett,Jasprit Bumrah,Yuvraj Singh,Mid-wicket,At Mid-wicket: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,16,4,Liam Plunkett,Jasprit Bumrah,Rishabh Pant,Mid-off,At Mid-off: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,16,5,Liam Plunkett,Jasprit Bumrah,Amit Mishra,Short Fine Leg,At Short Fine Leg: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,16,6,Liam Plunkett,Jasprit Bumrah,Jasprit Bumrah,Mid-on,At Mid-on: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,17,1,Liam Plunkett,Yuzvendra Chahal,Ashish Nehra,Fine Leg,At Fine Leg: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,17,2,Liam Plunkett,Yuzvendra Chahal,Yuzvendra Chahal,Deep Cover,At Deep Cover: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,17,3,Liam Plunkett,Yuzvendra Chahal,Virat Kohli (C),Long-on / Extra Cover,"Bullseye! Kohli charges in from Extra Cover, picks cleanly on the run, and breaks the stumps at the bowler's end.",1,1,0,0,0,0,0,1,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,17,4,Liam Plunkett,Yuzvendra Chahal,Virat Kohli (C),Long-on / Extra Cover,At Long-on / Extra Cover: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,17,5,Liam Plunkett,Yuzvendra Chahal,Hardik Pandya,Deep Mid-wicket,At Deep Mid-wicket: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,17,6,Liam Plunkett,Yuzvendra Chahal,Suresh Raina,Point,At Point: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,18,1,Adil Rashid,Hardik Pandya,KL Rahul,Cover,At Cover: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,18,2,Adil Rashid,Hardik Pandya,Yuvraj Singh,Mid-wicket,At Mid-wicket: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,18,3,Adil Rashid,Hardik Pandya,Rishabh Pant,Mid-off,At Mid-off: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,18,4,Adil Rashid,Hardik Pandya,Amit Mishra,Short Fine Leg,At Short Fine Leg: watched carefully into the hands.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,18,5,Adil Rashid,Hardik Pandya,Jasprit Bumrah,Mid-on,At Mid-on: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,0,0
3rd T20I,2,India,18,6,Adil Rashid,Hardik Pandya,Ashish Nehra,Fine Leg,At Fine Leg: routine collection and steady return.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,19,1,Adil Rashid,Amit Mishra,Yuzvendra Chahal,Deep Cover,At Deep Cover: standard fielding coverage.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
3rd T20I,2,India,19,2,Adil Rashid,Amit Mishra,Hardik Pandya,Deep Mid-wicket,"Outstanding athleticism! Pandya sprints 25 yards across deep mid-wicket, dives full length and saves 3 crucial boundary runs.",1,1,0,0,0,0,0,0,3,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,19,3,Adil Rashid,Amit Mishra,Virat Kohli (C),Long-on / Extra Cover,At Long-on / Extra Cover: fielded cleanly without fuss.,0,0,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,0,0
